"","형상  														 REPO1","파일명","유형","라인 수","파일 크기(Byte)","파일CheckSum","코딩 규칙CheckSum","취약점CheckSum","보안성CheckSum","동적CheckSum","상태"
"","REPO1","\Calculator CSharp-master\CalcEngine.cs","신규","882","34526","ca8a4834","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\Calculator.csproj","신규","151","6238","021e23d7","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\Calculator.csproj.user","신규","16","585","274059e8","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\Calculator.csproj_backup","신규","136","5658","ac8a4ba1","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\calculator.ico","신규","1","9662","c8c3922d","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\Calculator.nunit","신규","9","283","8fe1d56c","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\Calculator.sln","신규","21","889","67c1cb04","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\Calculator.suo","신규","14","26624","02e258a4","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\Calculator_TemporaryKey.pfx","신규","11","1700","163fc205","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\Documentation.htm","신규","78","3004","149a573e","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\Form1.cs","신규","567","19871","53fc9098","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\Form1.Designer.cs","신규","787","37650","7708c291","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\Form1.resx","신규","347","25092","20194e26","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Calculator.csproj.FileList.txt","신규","13","419","16e7a5ad","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Debug\.AssemblyReference.cache","신규","516","85185","ef24b9d7","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Debug\.NETFramework,Version=v4.5.2.AssemblyAttributes.cs","신규","5","210","bd8c61c8","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Debug\Calculator#.exe","신규","1864","92160","b480bda2","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Debug\Calculator#.pdb","신규","451","140800","0b9811d9","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Debug\Calculator.AboutBox2.resources","신규","5","9022","5fa74404","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Debug\Calculator.Calculator.resources","신규","15","13453","027a76c2","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Debug\Calculator.csproj.AssemblyReference.cache","신규","1","11","e8c63abd","미수행","미수행","비대상","미수행","불일치"
